company_name,website,city,segment
Aarti Industries,https://www.aarti-industries.com,Mumbai,Chemicals
Rossari Biotech,https://www.rossari.com,Mumbai,Chemicals
Centaur Pharma,https://www.centaurpharma.com,Mumbai,Pharma
Fine Organics,https://www.fineorganics.com,Mumbai,Chemicals
Suven Pharma,https://www.suven.com,Hyderabad,Pharma
Laurus Labs,https://www.lauruslabs.com,Hyderabad,Pharma
Divi's Laboratories,https://www.divislabs.com,Hyderabad,Pharma
Neuland Laboratories,https://www.neulandlabs.com,Hyderabad,Pharma
Shilpa Medicare,https://www.vbshilpa.com,Raichur,Pharma
Sudarshan Chemical Industries,https://www.sudarshan.com,Pune,Chemicals
PI Industries,https://www.piindustries.com,Gurgaon,Agrochemicals
Navin Fluorine International,https://www.nfil.in,Mumbai,Specialty Chemicals
Aether Industries,https://www.aether.co.in,Surat,Specialty Chemicals
MTAR Technologies,https://www.mtar.in,Hyderabad,Precision Engineering
Data Patterns,https://www.datapatternsindia.com,Chennai,Defence Electronics
Paras Defence,https://www.parasdefence.com,Mumbai,Defence Manufacturing
Syrma SGS Technology,https://www.syrmasgs.com,Chennai,Electronics Manufacturing
Astra Microwave Products,https://www.astramwp.com,Hyderabad,Electronics
HBL Power Systems,https://www.hbl.in,Hyderabad,Industrial Electronics
Avantel,https://www.avantel.in,Hyderabad,Communication Systems
