company,result
Aarti Industries,"PASS | C1:9 C2:8 C3:8 C4:7 C5:8 C6:7"
Rossari Biotech,"PASS | C1:8 C2:7 C3:9 C4:8 C5:7 C6:8"
Centaur Pharma,"PASS | C1:9 C2:8 C3:8 C4:8 C5:9 C6:7"
Fine Organics,"PASS | C1:8 C2:8 C3:7 C4:8 C5:8 C6:8"
Suven Pharma,"PASS | C1:9 C2:9 C3:8 C4:7 C5:8 C6:8"
Laurus Labs,"PASS | C1:8 C2:8 C3:9 C4:8 C5:7 C6:9"
Divi's Laboratories,"PASS | C1:9 C2:9 C3:9 C4:8 C5:8 C6:9"
Neuland Laboratories,"PASS | C1:8 C2:7 C3:8 C4:7 C5:8 C6:8"
Shilpa Medicare,"PASS | C1:8 C2:8 C3:7 C4:8 C5:7 C6:8"
Sudarshan Chemical Industries,"PASS | C1:9 C2:8 C3:8 C4:8 C5:8 C6:7"
PI Industries,"PASS | C1:9 C2:8 C3:9 C4:9 C5:8 C6:8"
Navin Fluorine International,"PASS | C1:8 C2:8 C3:8 C4:7 C5:9 C6:8"
Aether Industries,"PASS | C1:8 C2:7 C3:8 C4:8 C5:8 C6:7"
MTAR Technologies,"PASS | C1:9 C2:8 C3:9 C4:8 C5:8 C6:9"
Data Patterns,"PASS | C1:8 C2:8 C3:8 C4:7 C5:8 C6:8"
Paras Defence,"PASS | C1:9 C2:7 C3:8 C4:8 C5:9 C6:8"
Syrma SGS Technology,"PASS | C1:8 C2:8 C3:9 C4:8 C5:8 C6:7"
Astra Microwave Products,"PASS | C1:9 C2:8 C3:8 C4:9 C5:8 C6:8"
HBL Power Systems,"PASS | C1:8 C2:7 C3:8 C4:8 C5:7 C6:8"
Avantel,"PASS | C1:8 C2:8 C3:7 C4:8 C5:8 C6:7"
